"dataset_name","feature_id","gene_symbol","baseMean","lfc_shrunk","regulation_direction","lfdr","pvalue","padj","empirical_p","empirical_q","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","standard_significant","HBFSS_significant","effect_class","log2FoldChange","lfcSE","stat","raw_lfc_pass","shrunk_lfc_pass","padj_strong_effect","padj_weak_effect","deseq2_strong_call","deseq2_weak_call","HBFSS_only_call","overlap_call","R4_1","R4_2","R4_3","R4_4","R4_5","ZT10_1","ZT10_2","ZT10_3","ZT10_4","ZT10_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","neglog10_padj","neglog10_empirical_p"
"RT4_ZT10_raw_dataset","1922","LOC102547604",296.490350291703,-1.71828324081219,"downregulated",0.00111322805910817,3.22227110542438e-08,1.84493610811154e-05,5.77156529457667e-07,0.000315753120616597,10.7198646286822,0.0223630001696145,1.65046993290979,1,1,TRUE,TRUE,"intermediate",-1.84168407351951,0.333100768062164,-5.52890971772185,TRUE,TRUE,1,1,FALSE,FALSE,FALSE,TRUE,61.038041492444,114.730134137726,133.615886024888,172.324220665202,166.946460251035,598.885449673392,634.341425435716,261.169893913067,314.505653233043,507.346338090522,0.14462444934454,0.0969689176340426,0.12866697682018,9,FALSE,4.7340186692746,6.23870638673934
"RT4_ZT10_raw_dataset","2937","Kiaa0408L",11.6952161060677,4.08670851822204,"upregulated",0.113975472794172,0.000127646588485481,0.00984128299283477,0.000533035286112149,0.0413786152045811,13.3767943021152,0.0223630001696145,1.65046993290979,NA,0.449350896727454,TRUE,TRUE,"intermediate",4.82543801434327,1.25959124435171,3.83095550717872,TRUE,TRUE,0.449350896727454,NA,FALSE,FALSE,FALSE,TRUE,5.42560368821725,8.68475118970837,5.74691982902745,17.5329875676804,75.6476148012502,3.91428398479341,0,0,0,0,1.52862526174082,0.630885367346676,1.04976018761977,6,FALSE,2.00694827957817,3.27324404039828
"RT4_ZT10_raw_dataset","3037","Rpl26-ps2",1099.03108552502,0.798530262016445,"upregulated",0.0655766457167562,4.46533449528237e-05,0.00468121140591697,0.000223782903898018,0.0234699408553767,2.91477367785123,0.0223630001696145,1.65046993290979,0.372596215483124,1,FALSE,TRUE,"intermediate",0.891539080760594,0.21840840599607,4.08198153681244,FALSE,FALSE,1,0.372596215483124,FALSE,FALSE,TRUE,FALSE,1845.60952127523,1365.33430545573,1165.18799533531,1049.97548405309,1713.80975601453,775.028228989095,612.910971873698,810.796088565939,1001.25229700761,650.40620668,0.0475283265024759,0.0809583733273725,0.056140782581676,9,FALSE,2.3296417454673,3.65017309486913
"RT4_ZT10_raw_dataset","3144","Brd9",11.0325324030363,-1.1861007684259,"downregulated",0.598782583788338,0.00427140571715052,0.103140764328242,0.00978382919701826,0.239088268041527,2.38345898254809,0.0223630001696145,1.65046993290979,NA,1,TRUE,TRUE,"intermediate",-1.72265574643025,0.602877349052316,-2.85739006306697,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,TRUE,7.23413825095633,5.48510601455266,0,6.51225252513844,5.21707688284484,6.52380664132235,22.5019762401183,19.4902905905274,16.7128607998236,20.6478160850794,0.0930956148495591,0.664272750291779,0.325186555093822,11,FALSE,0.986569654562929,2.00949113768068
"RT4_ZT10_raw_dataset","3192","LOC120098984",237.287961467689,-2.12873307530681,"downregulated",7.88984029216493e-09,8.22356082172097e-16,6.12100190862746e-12,3.36841665671272e-13,2.37760979801633e-09,26.5507812204332,0.0223630001696145,1.65046993290979,1,0.0215851388700938,TRUE,TRUE,"strong_effect",-2.19655831842697,0.272836315946089,-8.0508282440707,TRUE,TRUE,0.0215851388700938,1,TRUE,FALSE,FALSE,TRUE,95.4001981844866,67.19254867827,44.5386286749627,104.196040402215,112.167152981164,480.152168801325,425.394503206046,271.564715561348,434.534380795412,337.739277391655,0.0734288945757161,0.102439234876032,0.0829653068416864,9,FALSE,11.2131774850807,12
"RT4_ZT10_raw_dataset","3661","Rmnd1",29.9300127836389,1.13490817345519,"upregulated",0.48571166179146,0.00269521995662584,0.076385303673644,0.00667216874805421,0.190682635602561,2.46925714037888,0.0223630001696145,1.65046993290979,0.887329047246586,1,TRUE,TRUE,"intermediate",1.54903859830673,0.516257286951712,3.000516675422,TRUE,TRUE,1,0.887329047246586,FALSE,FALSE,FALSE,TRUE,47.0218986312161,43.4237559485419,48.8488185467333,45.0848251740353,37.8238074006251,9.13332929785129,3.21456803430261,14.2928797663868,10.635456872615,39.8207881640816,0.249792077953817,0.292239856769379,0.26721992535675,5,FALSE,1.11699019047395,2.17573297834424
"RT4_ZT10_raw_dataset","4123","Rgs17",39.5431357351352,-1.19479458857846,"downregulated",0.265704272330659,0.000699353601567406,0.0313278749553136,0.00217844477517048,0.0984262290286728,3.18036809191853,0.0223630001696145,1.65046993290979,0.893024282513601,1,TRUE,TRUE,"intermediate",-1.47422298021568,0.434895533482472,-3.38983242345738,TRUE,TRUE,1,0.893024282513601,FALSE,FALSE,FALSE,TRUE,17.1810783460213,24.2258848976076,14.3672995725686,39.0735151508306,7.82561532426726,69.1523503980169,85.7218142480697,58.4708717715822,42.54182749046,36.8711001519275,0.174582728405851,0.239438383551346,0.197109471581966,7,FALSE,1.50406906335262,2.66185344520389
"RT4_ZT10_raw_dataset","4319","-",4.05354489011456,5.61332420257605,"upregulated",0.0938267763611642,6.80989331585617e-05,0.00616264296939167,0.000317125592277812,0.0290306462602757,19.6397230715472,0.0223630001696145,1.65046993290979,NA,0.307618878527394,TRUE,TRUE,"intermediate",5.06030696987614,1.27052989819053,3.98283186966553,TRUE,TRUE,0.307618878527394,NA,FALSE,FALSE,FALSE,TRUE,3.16493548479339,13.7127650363816,8.62037974354117,8.51602253287334,6.52134610355605,0,0,0,0,0,0.248991498425178,1.6787487419764,0.889319734395732,8,FALSE,2.21023299224248,3.49876870866183
"RT4_ZT10_raw_dataset","4512","RGD1560015",368.09586247975,2.98399888831258,"upregulated",2.24270616605029e-12,7.42392656663056e-29,1.10516282834146e-24,2.22044604925031e-16,2.24270616605029e-12,46.7102049653232,0.0223630001696145,1.65046993290979,1,9.69042438634124e-10,TRUE,TRUE,"strong_effect",3.03209468741805,0.272015139807583,11.1467864971151,TRUE,TRUE,9.69042438634124e-10,1,TRUE,FALSE,FALSE,TRUE,934.108101654736,658.212721746319,540.21046392858,371.198393932891,776.04018632317,96.5523382915708,65.3628833641532,88.3559840103908,66.8514431992942,84.0661083463946,0.0745129869077009,0.0927037656893679,0.0799485940938076,9,FALSE,12,12
"RT4_ZT10_raw_dataset","4654","Plg",5.69721867832593,-3.52616904584119,"downregulated",0.113975472794172,0.000144055365063907,0.0108307080405245,0.000589089679802424,0.0440483250544049,11.388886320066,0.0223630001696145,1.65046993290979,NA,0.567353417925844,TRUE,TRUE,"intermediate",-4.16370858669434,1.09539580668855,-3.80109962195444,TRUE,TRUE,0.567353417925844,NA,FALSE,FALSE,FALSE,TRUE,0,0,0,2.50471250966863,0,15.6571359391736,7.5006587467061,10.3948216482813,9.11610589081285,11.7987520486168,0.080075364692225,1.21607238857392,0.82537235839372,8,FALSE,1.96534315112709,3.22981858555482
