"dataset_name","feature_id","gene_symbol","log2FoldChange","lfc_shrunk","Apeglm_L2FC","regulation_direction","stat","pvalue","padj","empirical_p","empirical_q","empirical_bh","lfdr","HBFSS","pi_valueE","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","weak_cnh_flag","strong_cnh_flag","standard_flag","hbfss_flag","final_class","weak_hbfss_overlap","strong_hbfss_overlap","standard_hbfss_overlap","any_overlap","baseMean.x","lfcSE","pval","padjc","qval","gene_empirical_pvalue","HBFSS_core_pass","raw_lfc_pass","shrunk_lfc_pass","padj_strong_effect","padj_weak_effect","effect_class","hc_pass","standard_significant","HBFSS_significant","R4_1","R4_2","R4_3","R4_4","R4_5","ZT10_1","ZT10_2","ZT10_3","ZT10_4","ZT10_5","dispGeneEst","dispFit","dispersion","dispIter","baseMean.y","dispOutlier","neglog10_padj","neglog10_empirical_p","neglog10_padjc"
"RT4_ZT10_NormEVS_raw_dataset","1922","LOC102547604",-1.84168407351951,-1.71828324081219,-1.71828324081219,"downregulated",-5.52890971772185,3.22227110542438e-08,1.76908880363001e-05,5.77156529457667e-07,0.000315753120616597,0.000344747573765487,0.00111322805910817,10.7198646286822,10.7198646286822,0.0223630001696145,1.65046993290979,1,1,FALSE,FALSE,TRUE,TRUE,"HBFSS",FALSE,FALSE,TRUE,TRUE,296.490350291703,0.333100768062164,5.77156529457667e-07,0.000344747573765487,0.000315753120616597,5.77156529457667e-07,TRUE,TRUE,TRUE,1,1,"intermediate",TRUE,TRUE,TRUE,61.038041492444,114.730134137726,133.615886024888,172.324220665202,166.946460251035,598.885449673392,634.341425435716,261.169893913067,314.505653233043,507.346338090522,0.14462444934454,0.0969689176340426,0.12866697682018,9,296.490350291703,FALSE,4.75225036609622,6.23870638673934,3.46249878158132
"RT4_ZT10_NormEVS_raw_dataset","2937","Kiaa0408L",4.82543801434327,4.08670851822204,4.08670851822204,"upregulated",3.83095550717872,0.000127646588485481,0.00943669728151143,0.000533035286112149,0.0413786152045811,0.0434569717616407,0.113975472794172,13.3767943021152,13.3767943021152,0.0223630001696145,1.65046993290979,NA,0.449350896727454,FALSE,FALSE,TRUE,TRUE,"HBFSS",FALSE,FALSE,TRUE,TRUE,11.6952161060677,1.25959124435171,0.000533035286112149,0.0434569717616407,0.0413786152045811,0.000533035286112149,TRUE,TRUE,TRUE,0.449350896727454,NA,"intermediate",TRUE,TRUE,TRUE,5.42560368821725,8.68475118970837,5.74691982902745,17.5329875676804,75.6476148012502,3.91428398479341,0,0,0,0,1.52862526174082,0.630885367346676,1.04976018761977,6,11.6952161060677,FALSE,2.02517997639978,3.27324404039828,1.3619405401653
"RT4_ZT10_NormEVS_raw_dataset","3144","Brd9",-1.72265574643025,-1.1861007684259,-1.1861007684259,"downregulated",-2.85739006306697,0.00427140571715052,0.0989005367550123,0.00978382919701826,0.239088268041527,0.250595845242074,0.598782583788338,2.38345898254809,2.38345898254809,0.0223630001696145,1.65046993290979,NA,1,FALSE,FALSE,TRUE,TRUE,"HBFSS",FALSE,FALSE,TRUE,TRUE,11.0325324030363,0.602877349052316,0.00978382919701826,0.250595845242074,0.239088268041527,0.00978382919701826,TRUE,TRUE,TRUE,1,NA,"intermediate",TRUE,TRUE,TRUE,7.23413825095633,5.48510601455266,0,6.51225252513844,5.21707688284484,6.52380664132235,22.5019762401183,19.4902905905274,16.7128607998236,20.6478160850794,0.0930956148495591,0.664272750291779,0.325186555093822,11,11.0325324030363,FALSE,1.00480135138455,2.00949113768068,0.601026133674665
"RT4_ZT10_NormEVS_raw_dataset","3192","LOC120098984",-2.19655831842697,-2.12873307530681,-2.12873307530681,"downregulated",-8.0508282440707,8.22356082172097e-16,5.8693609474828e-12,3.36841665671272e-13,2.37760979801633e-09,2.66593336295529e-09,7.88984029216493e-09,26.5507812204332,26.5507812204332,0.0223630001696145,1.65046993290979,1,0.0215851388700938,FALSE,TRUE,TRUE,TRUE,"HBFSS",FALSE,TRUE,TRUE,TRUE,237.287961467689,0.272836315946089,3.36841665671272e-13,2.66593336295529e-09,2.37760979801633e-09,3.36841665671272e-13,TRUE,TRUE,TRUE,0.0215851388700938,1,"strong_effect",TRUE,TRUE,TRUE,95.4001981844866,67.19254867827,44.5386286749627,104.196040402215,112.167152981164,480.152168801325,425.394503206046,271.564715561348,434.534380795412,337.739277391655,0.0734288945757161,0.102439234876032,0.0829653068416864,9,237.287961467689,FALSE,11.2314091819024,12,8.57415071030944
"RT4_ZT10_NormEVS_raw_dataset","3661","Rmnd1",1.54903859830673,1.13490817345519,1.13490817345519,"upregulated",3.000516675422,0.00269521995662584,0.0732450218177162,0.00667216874805421,0.190682635602561,0.200480665064902,0.48571166179146,2.46925714037888,2.46925714037888,0.0223630001696145,1.65046993290979,0.887329047246586,1,FALSE,FALSE,TRUE,TRUE,"HBFSS",FALSE,FALSE,TRUE,TRUE,29.9300127836389,0.516257286951712,0.00667216874805421,0.200480665064902,0.190682635602561,0.00667216874805421,TRUE,TRUE,TRUE,1,0.887329047246586,"intermediate",TRUE,TRUE,TRUE,47.0218986312161,43.4237559485419,48.8488185467333,45.0848251740353,37.8238074006251,9.13332929785129,3.21456803430261,14.2928797663868,10.635456872615,39.8207881640816,0.249792077953817,0.292239856769379,0.26721992535675,5,29.9300127836389,FALSE,1.13522188729557,2.17573297834424,0.69792750563994
"RT4_ZT10_NormEVS_raw_dataset","4123","Rgs17",-1.47422298021568,-1.19479458857846,-1.19479458857846,"downregulated",-3.38983242345738,0.000699353601567406,0.0300399523762889,0.00217844477517048,0.0984262290286728,0.103442121463901,0.265704272330659,3.18036809191853,3.18036809191853,0.0223630001696145,1.65046993290979,0.893024282513601,1,FALSE,FALSE,TRUE,TRUE,"HBFSS",FALSE,FALSE,TRUE,TRUE,39.5431357351352,0.434895533482472,0.00217844477517048,0.103442121463901,0.0984262290286728,0.00217844477517048,TRUE,TRUE,TRUE,1,0.893024282513601,"intermediate",TRUE,TRUE,TRUE,17.1810783460213,24.2258848976076,14.3672995725686,39.0735151508306,7.82561532426726,69.1523503980169,85.7218142480697,58.4708717715822,42.54182749046,36.8711001519275,0.174582728405851,0.239438383551346,0.197109471581966,7,39.5431357351352,FALSE,1.52230076017424,2.66185344520389,0.985302581219138
"RT4_ZT10_NormEVS_raw_dataset","4319","-",5.06030696987614,5.61332420257605,5.61332420257605,"upregulated",3.98283186966553,6.80989331585617e-05,0.00590929009952516,0.000317125592277812,0.0290306462602757,0.0303310030221479,0.0938267763611642,19.6397230715472,19.6397230715472,0.0223630001696145,1.65046993290979,NA,0.307618878527394,FALSE,FALSE,TRUE,TRUE,"HBFSS",FALSE,FALSE,TRUE,TRUE,4.05354489011456,1.27052989819053,0.000317125592277812,0.0303310030221479,0.0290306462602757,0.000317125592277812,TRUE,TRUE,TRUE,0.307618878527394,NA,"intermediate",TRUE,TRUE,TRUE,3.16493548479339,13.7127650363816,8.62037974354117,8.51602253287334,6.52134610355605,0,0,0,0,0,0.248991498425178,1.6787487419764,0.889319734395732,8,4.05354489011456,FALSE,2.2284646890641,3.49876870866183,1.51811322767874
"RT4_ZT10_NormEVS_raw_dataset","4512","RGD1560015",3.03209468741805,2.98399888831258,2.98399888831258,"upregulated",11.1467864971151,7.42392656663056e-29,1.05972839775368e-24,2.22044604925031e-16,2.24270616605029e-12,2.34316270090555e-12,2.24270616605029e-12,46.7102049653232,46.7102049653232,0.0223630001696145,1.65046993290979,1,9.69042438634124e-10,FALSE,TRUE,TRUE,TRUE,"HBFSS",FALSE,TRUE,TRUE,TRUE,368.09586247975,0.272015139807583,2.22044604925031e-16,2.34316270090555e-12,2.24270616605029e-12,2.22044604925031e-16,TRUE,TRUE,TRUE,9.69042438634124e-10,1,"strong_effect",TRUE,TRUE,TRUE,934.108101654736,658.212721746319,540.21046392858,371.198393932891,776.04018632317,96.5523382915708,65.3628833641532,88.3559840103908,66.8514431992942,84.0661083463946,0.0745129869077009,0.0927037656893679,0.0799485940938076,9,368.09586247975,FALSE,12,12,11.6301975544879
"RT4_ZT10_NormEVS_raw_dataset","4654","Plg",-4.16370858669434,-3.52616904584119,-3.52616904584119,"downregulated",-3.80109962195444,0.000144055365063907,0.0103854460030543,0.000589089679802424,0.0440483250544049,0.0468577916662943,0.113975472794172,11.388886320066,11.388886320066,0.0223630001696145,1.65046993290979,NA,0.567353417925844,FALSE,FALSE,TRUE,TRUE,"HBFSS",FALSE,FALSE,TRUE,TRUE,5.69721867832593,1.09539580668855,0.000589089679802424,0.0468577916662943,0.0440483250544049,0.000589089679802424,TRUE,TRUE,TRUE,0.567353417925844,NA,"intermediate",TRUE,TRUE,TRUE,0,0,0,2.50471250966863,0,15.6571359391736,7.5006587467061,10.3948216482813,9.11610589081285,11.7987520486168,0.080075364692225,1.21607238857392,0.82537235839372,8,5.69721867832593,FALSE,1.9835748479487,3.22981858555482,1.3292181828697
"RT4_ZT10_NormEVS_raw_dataset","4760","Prkn",-2.91135061276452,-2.75752080155196,-2.75752080155196,"downregulated",-6.26259772379436,3.78616450102606e-10,4.15735424383819e-07,1.49585379638495e-08,1.6628606236401e-05,1.75391627725758e-05,9.56594603263565e-05,21.5779059488687,21.5779059488687,0.0223630001696145,1.65046993290979,1,0.0501983250859793,FALSE,TRUE,TRUE,TRUE,"HBFSS",FALSE,TRUE,TRUE,TRUE,31.2875047663613,0.464879071140561,1.49585379638495e-08,1.75391627725758e-05,1.6628606236401e-05,1.49585379638495e-08,TRUE,TRUE,TRUE,0.0501983250859793,1,"strong_effect",TRUE,TRUE,TRUE,6.32987096958679,8.22765902182898,0,7.51413752900589,14.3469614278233,52.1904531305788,61.0767926517497,44.1779920051954,34.9450725814493,84.0661083463946,0.111491754877064,0.282816210125759,0.196499273085474,10,31.2875047663613,FALSE,6.38118296813524,7.82511085201043,4.7559911414106
