"rank","feature_id","mu","empirical_variance.x","NB2","NB2_NB1","alpha_mu","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d2_spline"
1,"214",0,0,0,0,0,0,0,0,-0.300644919948439,-6.70901414021698e-08
2,"672",0,0,0,0,0,0,0,0,-0.300312767150251,-6.44632770307886e-08
3,"926",0,0,0,0,0,0,0,0,-0.299980678815338,-6.18364126594075e-08
4,"1576",0,0,0,0,0,0,0,0,-0.299648652316839,-5.92095482880264e-08
5,"3279",0,0,0,0,0,0,0,0,-0.299316685027888,-5.65826839166453e-08
6,"4456",0,0,0,0,0,0,0,0,-0.298984774321621,-5.39558195452642e-08
7,"5332",0,0,0,0,0,0,0,0,-0.298652917571174,-5.1328955173883e-08
8,"6396",0,0,0,0,0,0,0,0,-0.298321112149681,-4.87020908025019e-08
9,"6569",0,0,0,0,0,0,0,0,-0.29798935543028,-4.60752264311208e-08
10,"6612",0,0,0,0,0,0,0,0,-0.297657644786105,-4.34483620597397e-08
11,"7638",0,0,0,0,0,0,0,0,-0.297325977590292,-4.08214976883585e-08
12,"7955",0,0,0,0,0,0,0,0,-0.296994351215976,-3.81946333169774e-08
13,"8035",0,0,0,0,0,0,0,0,-0.296662763036294,-3.55677689455963e-08
14,"8269",0,0,0,0,0,0,0,0,-0.296331210424381,-3.29409045742152e-08
15,"8595",0,0,0,0,0,0,0,0,-0.295999690753373,-3.03140402028341e-08
16,"8739",0,0,0,0,0,0,0,0,-0.295668201396404,-2.76871758314529e-08
17,"8841",0,0,0,0,0,0,0,0,-0.295336739726612,-2.50603114600718e-08
18,"9271",0,0,0,0,0,0,0,0,-0.295005303117131,-2.24334470886907e-08
19,"9592",0,0,0,0,0,0,0,0,-0.294673888941097,-1.98065827173096e-08
20,"9593",0,0,0,0,0,0,0,0,-0.294342494571646,-1.71797183459284e-08
21,"9936",0,0,0,0,0,0,0,0,-0.294011117381913,-1.45528539745473e-08
22,"10937",0,0,0,0,0,0,0,0,-0.293679754745034,-1.19259896031662e-08
23,"11109",0,0,0,0,0,0,0,0,-0.293348404034145,-9.29912523178507e-09
24,"11500",0,0,0,0,0,0,0,0,-0.29301706262238,-6.67226086040396e-09
25,"11538",0,0,0,0,0,0,0,0,-0.292685727882877,-4.04539648902284e-09
26,"11556",0,0,0,0,0,0,0,0,-0.292354397188771,-1.41853211764172e-09
27,"12336",0,0,0,0,0,0,0,0,-0.292023067913196,1.20833225373941e-09
28,"12384",0,0,0,0,0,0,0,0,-0.291691737429289,3.83519662512053e-09
29,"12443",0,0,0,0,0,0,0,0,-0.291360403110186,6.46206099650165e-09
30,"14901",0,0,0,0,0,0,0,0,-0.291029062329021,9.08892536788277e-09
31,"15217",0,0,0,0,0,0,0,0,-0.290697712458931,1.17157897392639e-08
32,"16970",0,0,0,0,0,0,0,0,-0.290366350873052,1.4342654110645e-08
33,"17119",0,0,0,0,0,0,0,0,-0.290034974944518,1.69695184820261e-08
34,"17239",0,0,0,0,0,0,0,0,-0.289703582046466,1.95963828534073e-08
35,"17426",0,0,0,0,0,0,0,0,-0.289372169552031,2.22232472247884e-08
36,"18165",0,0,0,0,0,0,0,0,-0.289040734834349,2.48501115961695e-08
37,"18338",0,0,0,0,0,0,0,0,-0.288709275266555,2.74769759675506e-08
38,"18754",0,0,0,0,0,0,0,0,-0.288377788221785,3.01038403389318e-08
39,"19850",0,0,0,0,0,0,0,0,-0.288046271073175,3.27307047103129e-08
40,"22259",0,0,0,0,0,0,0,0,-0.28771472119386,3.53575690816935e-08
41,"22275",0,0,0,0,0,0,0,0,-0.287383135956976,3.79844334530751e-08
42,"22447",0,0,0,0,0,0,0,0,-0.287051512735658,4.06112978244562e-08
43,"22698",0,0,0,0,0,0,0,0,-0.286719848903043,4.32381621958374e-08
44,"22789",0,0,0,0,0,0,0,0,-0.286388141832266,4.58650265672185e-08
45,"22966",0,0,0,0,0,0,0,0,-0.286056388896462,4.84918909385996e-08
46,"22967",0,0,0,0,0,0,0,0,-0.285724587468767,5.11187553099807e-08
47,"23058",0,0,0,0,0,0,0,0,-0.285392734922317,5.37456196813618e-08
48,"23669",0,0,0,0,0,0,0,0,-0.285060828630247,5.6372484052743e-08
49,"24206",0,0,0,0,0,0,0,0,-0.284728865965693,5.89993484241241e-08
50,"24938",0,0,0,0,0,0,0,0,-0.28439684430179,6.16262127955052e-08
51,"24944",0,0,0,0,0,0,0,0,-0.284064761011675,6.42530771668863e-08
52,"25630",0,0,0,0,0,0,0,0,-0.283732613468483,6.68799415382675e-08
53,"26322",0,0,0,0,0,0,0,0,-0.283400399045349,6.95068059096486e-08
54,"27331",0,0,0,0,0,0,0,0,-0.283068115115409,7.21336702810297e-08
55,"28759",0,0,0,0,0,0,0,0,-0.282735759051799,7.47605346524108e-08
56,"29101",0,0,0,0,0,0,0,0,-0.282403328227654,7.73873990237916e-08
57,"29295",0,0,0,0,0,0,0,0,-0.282070820016111,8.0014263395173e-08
58,"29511",0,0,0,0,0,0,0,0,-0.281738231790303,8.26411277665542e-08
59,"30104",0,0,0,0,0,0,0,0,-0.281405560923368,8.52679921379353e-08
60,"30561",0,0,0,0,0,0,0,0,-0.281072804788441,8.78948565093164e-08
61,"30795",0,0,0,0,0,0,0,0,-0.280739960758658,9.05217208806975e-08
62,"31146",0,0,0,0,0,0,0,0,-0.280407026207153,9.31485852520786e-08
63,"31432",0,0,0,0,0,0,0,0,-0.280073998507064,9.57754496234598e-08
64,"31758",0,0,0,0,0,0,0,0,-0.279740875031524,9.84023139948409e-08
65,"31827",0,0,0,0,0,0,0,0,-0.279407653153671,1.01029178366222e-07
66,"31868",0,0,0,0,0,0,0,0,-0.279074330246639,1.03656042737603e-07
67,"32323",0,0,0,0,0,0,0,0,-0.278740903683565,1.06282907108984e-07
68,"33218",0,0,0,0,0,0,0,0,-0.278407370837583,1.08909771480365e-07
69,"33631",0,0,0,0,0,0,0,0,-0.27807372908183,1.11536635851747e-07
70,"34738",0,0,0,0,0,0,0,0,-0.277739975789441,1.14163500223128e-07
71,"34966",0,0,0,0,0,0,0,0,-0.277406108333552,1.16790364594509e-07
72,"35074",0,0,0,0,0,0,0,0,-0.277072124087299,1.1941722896589e-07
73,"35207",0,0,0,0,0,0,0,0,-0.276738020423816,1.22044093337271e-07
74,"37691",0,0,0,0,0,0,0,0,-0.27640379471624,1.24670957708652e-07
75,"38230",0,0,0,0,0,0,0,0,-0.276069444337706,1.27297822080033e-07
76,"38721",0,0,0,0,0,0,0,0,-0.275734966661351,1.29924686451414e-07
77,"39331",0,0,0,0,0,0,0,0,-0.275400359060308,1.32551550822795e-07
78,"39595",0,0,0,0,0,0,0,0,-0.275065618907715,1.35178415194177e-07
79,"39796",0,0,0,0,0,0,0,0,-0.274730743576707,1.37805279565558e-07
80,"40151",0,0,0,0,0,0,0,0,-0.274395730440419,1.40432143936939e-07
81,"40413",0,0,0,0,0,0,0,0,-0.274060576871987,1.4305900830832e-07
