"comparison_name","arm","cutoff_anchor_rank","fixed_leading_edge_5000_rank","terminal_start_rank","interval_min_rank","interval_max_rank","pre_evs_remainder_size","pre_evs_leading_edge_size","left_n","right_n","left_median_log_nb1","right_median_log_nb1","right_left_log_nb1_diff","left_median_log_nb2","right_median_log_nb2","right_left_log_nb2_diff","left_median_nb_gap","right_median_nb_gap","right_left_nb_gap_diff","left_median_log_alpha_mu","right_median_log_alpha_mu","right_left_log_alpha_mu_diff","center_nb_support","nb_support_threshold"
"RT0_ZT6","control",26757,26758,26759,26757,26759,26756,5001,5001,5001,1.56861591791385,1.94591014905531,0.377294231141468,2.4423470353692,3.48124008933569,1.03889305396649,1.00726251007988,1.62313675679226,0.615874246712381,1.49688312114225,1.94591014905531,0.449027027913067,0.268129343231623,0.26559352350352
"RT0_ZT6","treatment",26757,26758,26759,26757,26759,26756,5001,5001,5001,2.17475172148416,2.28238238567653,0.107630664192365,3.78418963391826,4.22683374526818,0.442644111349919,1.76190650607837,1.94591014905531,0.18400364297694,2.07944154167984,2.1639989297079,0.0845573880280632,0.64129599507432,0.269740408620412
"RT2_ZT8","control",26757,26758,26759,26757,26759,26756,5001,5001,5001,1.82454929205105,1.94591014905531,0.121360857004267,2.86220088092947,3.69386699562498,0.831666114695507,1.2110902720948,1.82397308921171,0.61288281711691,1.66442004685145,2.08038806328387,0.415968016432413,0.383099120746411,0.242567650041523
"RT2_ZT8","treatment",26757,26758,26759,26757,26759,26756,5001,5001,5001,1.82454929205105,1.82454929205105,0,2.82731362192903,3.06805293513362,0.240739313204589,1.00726251007988,1.29250329714488,0.285240787065001,1.40534255609059,1.65822807660353,0.252885520512948,0.15703717626477,0.248875435666077
"RT4_ZT10","control",26757,26758,26759,26757,26759,26756,5001,5001,5001,2.36085400111802,2.62466859216316,0.263814591045138,4.30271282795416,4.73092139129365,0.428208563339496,1.89085037187229,2.10831746518169,0.217467093309404,2.11158966305531,2.28514416068085,0.173554497625536,0.254779694623994,0.284217833336148
"RT4_ZT10","treatment",26757,26758,26759,26757,26759,26756,5001,5001,5001,1.79175946922805,1.79175946922805,0,2.76631910922619,3.06339092202781,0.29707181280162,0.984727893427384,1.33732035652343,0.352592463096047,1.4003086044947,1.71297859137494,0.312669986880239,0.194337891391862,0.246103965251685
"RT8_ZT14","control",26757,26758,26759,26757,26759,26756,5001,5001,5001,1.82454929205105,2.02814824729229,0.203598955241239,2.89037175789616,3.67376581630389,0.783394058407723,1.22050210627715,1.68281509814793,0.46231299187078,1.60106966276358,1.96821590656961,0.367146243806028,0.27260621765185,0.251430119652184
"RT8_ZT14","treatment",26757,26758,26759,26757,26759,26756,5001,5001,5001,2.24070968927596,2.30258509299405,0.0618754037180875,3.64805745959368,4.18813844150846,0.54008098191478,1.48289016355683,1.90423745265475,0.421347289097915,1.79175946922805,2.13350876295011,0.341749293722057,0.422135793810615,0.285808698359256
