"dataset_name","feature_id","gene_symbol","stat","lfc_shrunk","pvalue","padj","empirical_p","empirical_q","lfdr","resGA_padj","resLA_padj","deseq2_strong_call","deseq2_weak_call","standard_significant","HBFSS_significant","HBFSS_only_call","overlap_call","hc_p_threshold_dataset","hbfss_threshold_dataset","HBFSS","regulation_direction"
"RT8_ZT14_raw","20","-",0.539513124376754,0.000913950779684192,0.589532843519433,0.999580341370701,0.539269165661372,0.962057348658966,1,1,0.662634016104738,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.000245116491128935,"upregulated"
"RT8_ZT14_raw","25","-",2.35703338902424,0.0141670437776773,0.0184215904169812,0.99577938738752,0.00731622678483856,0.3842097165014,0.602275243614331,1,0.837133636012685,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.0302567373141149,"upregulated"
"RT8_ZT14_raw","31","Pcmt1",0.641372953609523,0.00525161364640663,0.521280400888988,0.999580341370701,0.465496510675073,0.956306870812144,1,1,0.276032388993738,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.00174397460852362,"upregulated"
"RT8_ZT14_raw","35","Pcmt1",0.282912626514561,0.00389608287442695,0.777243815282206,0.999580341370701,0.747505945433984,0.972334820644099,1,1,0.0116015947880828,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.000492407792820483,"upregulated"
"RT8_ZT14_raw","37","Pcmt1",-1.39912896124905,-0.0219464834877694,0.1617743143878,0.999580341370701,0.111365423545492,0.839646509938499,1,1,0.061312130417395,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.0209204771961474,"downregulated"
"RT8_ZT14_raw","38","Pcmt1",-0.597756169774096,-0.00809685888796776,0.550002640194263,0.999580341370701,0.496381633224689,0.958913782594729,1,1,0.0269991555119039,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.00246293732343977,"downregulated"
"RT8_ZT14_raw","89","Tab2",0.650808714178641,0.00864923676667285,0.515169974290908,0.999580341370701,0.458958370174825,0.955712002078056,1,1,0.0363118711549554,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.00292540285549754,"upregulated"
"RT8_ZT14_raw","90","Tab2",-1.54843412962539,-0.0164093514816984,0.121517809394139,0.999580341370701,0.0780723423378489,0.785905534534191,1,1,0.408253940587311,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.0181734025591184,"downregulated"
"RT8_ZT14_raw","143","Ust",-0.629781790009396,-0.00483379538187643,0.528837361411633,0.999580341370701,0.473598516573046,0.957022218851584,1,1,0.315515954671672,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.0015690000314162,"downregulated"
"RT8_ZT14_raw","214","LOC365036",-0.55081439635694,-0.00224199382388613,0.58176091426743,0.999580341370701,0.530804515326833,0.961475593352452,1,1,0.550568161159916,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.000616694908761204,"downregulated"
