"Comparison","Analysis","PAS","Gene","Direction","Apeglm_LFC","Std_p","Std_BH","Strong_p","Strong_BH","Weak_p","Weak_BH","EmpP","HBFSS","HCp","Htau","Std","Strong","Weak","HBFSS_sig","Ovlp","Support"
"RT8_ZT14","Original (No EVS)","242751","Egr1","downregulated",-1.01144404856526,2.01732894019873e-09,5.9942912129065e-05,0.677258066991544,1,0.661370966504228,0.678581811865924,8.89222029343273e-12,11.1774578505608,0.0186581006283235,1.72913256898303,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS"
"RT8_ZT14","Original (No EVS)","11489","Lin7b","downregulated",-0.865658379026235,1.37966089610583e-05,0.0982147969517125,1,1,0.469757130466897,0.503566991273593,7.55257874462956e-07,5.29947813204474,0.0186581006283235,1.72913256898303,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT8_ZT14","Original (No EVS)","497156","LOC100362980","upregulated",1.03752045489311,1.55790681880542e-05,0.0982147969517125,0.509519068097148,1,0.745240465951426,0.756401591659468,8.82562236848017e-07,6.28141304797143,0.0186581006283235,1.72913256898303,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS"
"RT8_ZT14","Original (No EVS)","90088","LOC120095261","downregulated",-2.11491584408964,1.89861366977909e-05,0.0982147969517125,0.0122591745598219,1,0.993870412720089,0.994223914556376,1.13722902561619e-06,12.5713813804584,0.0186581006283235,1.72913256898303,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS"
"RT8_ZT14","Original (No EVS)","425210","Tmod1","upregulated",2.63026707838759,2.3207565824043e-05,0.0982147969517125,0.00475350501137457,1,0.997623247494313,0.99774149833856,1.47093850011437e-06,15.3407841342912,0.0186581006283235,1.72913256898303,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS"
"RT8_ZT14","Original (No EVS)","9850","Aplp1","downregulated",-0.73050731311124,3.30533744873503e-05,0.0982147969517125,1,1,0.217927092538237,0.274564707076508,2.3140909060082e-06,4.1168613202904,0.0186581006283235,1.72913256898303,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT8_ZT14","Original (No EVS)","213246","Habp4","upregulated",6.39696718289519,7.02345869214325e-05,0.183091892366963,0.00101867853403739,1,0.999490660732981,NA,6.07512007255728e-06,33.3694283333859,0.0186581006283235,1.72913256898303,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT8_ZT14","Original (No EVS)","323897","Rpl35","upregulated",0.431398264290539,7.39416675103842e-05,0.183091892366963,1,1,4.38417347931082e-05,0.000739090184449251,6.48855665930093e-06,2.23803030448335,0.0186581006283235,1.72913256898303,FALSE,FALSE,TRUE,TRUE,TRUE,"Weak+HBFSS"
"RT8_ZT14","Original (No EVS)","42416","Dbp","downregulated",-0.612424860862878,9.9713093759333e-05,0.192281854914456,1,1,0.0680999730525202,0.125333956294174,9.51351884159735e-06,3.07538870252282,0.0186581006283235,1.72913256898303,FALSE,FALSE,TRUE,TRUE,TRUE,"Weak+HBFSS"
"RT8_ZT14","Original (No EVS)","137128","Ier5","downregulated",-0.788538878979156,0.000100190902945748,0.192281854914456,1,1,0.390308954951054,0.43023473870266,9.57188809525e-06,3.95767851612013,0.0186581006283235,1.72913256898303,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
